geom,oid,longitude,latitude,providers,species,datasets,date_min,date_max,num_records,num_animals,num_species,csquare,geom_wkt
0103000020E610000001000000050000000000000000405B400000000000001CC00000000000805B400000000000001CC00000000000805B4000000000000020C00000000000405B4000000000000020C00000000000405B400000000000001CC0,21459992,110,-8,CSIRO,Rhincodon typus,1296,09/08/2018,02/11/2018,19,1,1,3010:479,"POLYGON((109 -7,110 -7,110 -8,109 -8,109 -7))"
0103000020E610000001000000050000000000000000805B4000000000000033C00000000000C05B4000000000000033C00000000000C05B4000000000000034C00000000000805B4000000000000034C00000000000805B4000000000000033C0,21460207,110,-19,CSIRO,Rhincodon typus,1296,19/12/2016,19/12/2016,1,1,1,3111:390,"POLYGON((110 -19,111 -19,111 -20,110 -20,110 -19))"
0103000020E610000001000000050000000000000000805B4000000000000026C00000000000C05B4000000000000026C00000000000C05B4000000000000028C00000000000805B4000000000000028C00000000000805B4000000000000026C0,21460161,111,-11,CSIRO,Rhincodon typus,1296,27/07/2018,27/07/2018,1,1,1,3111:110,"POLYGON((110 -11,111 -11,111 -12,110 -12,110 -11))"
0103000020E610000001000000050000000000000000805B4000000000000024C00000000000C05B4000000000000024C00000000000C05B4000000000000026C00000000000805B4000000000000026C00000000000805B4000000000000024C0,21460159,111,-10,CSIRO,Rhincodon typus,1296,28/07/2018,29/07/2018,6,1,1,3111:100,"POLYGON((110 -10,111 -10,111 -11,110 -11,110 -10))"
0103000020E610000001000000050000000000000000805B4000000000000022C00000000000C05B4000000000000022C00000000000C05B4000000000000024C00000000000805B4000000000000024C00000000000805B4000000000000022C0,21460047,110,-10,CSIRO,Rhincodon typus,1296,29/07/2018,29/07/2018,3,1,1,3011:390,"POLYGON((110 -9,111 -9,111 -10,110 -10,110 -9))"
0103000020E610000001000000050000000000000000805B4000000000000020C00000000000C05B4000000000000020C00000000000C05B4000000000000022C00000000000805B4000000000000022C00000000000805B4000000000000020C0,21460043,111,-8,CSIRO,Rhincodon typus,1296,17/08/2018,10/10/2018,42,2,1,3011:380,"POLYGON((110 -8,111 -8,111 -9,110 -9,110 -8))"
0103000020E610000001000000050000000000000000C05B4000000000000020C00000000000005C4000000000000020C00000000000005C4000000000000022C00000000000C05B4000000000000022C00000000000C05B4000000000000020C0,21460046,111,-8,CSIRO,Rhincodon typus,1296,28/08/2018,02/09/2018,5,1,1,3011:381,"POLYGON((111 -8,112 -8,112 -9,111 -9,111 -8))"
0103000020E610000001000000050000000000000000005C4000000000000040C00000000000405C4000000000000040C00000000000405C4000000000008040C00000000000005C4000000000008040C00000000000005C4000000000000040C0,21461093,113,-32,CSIRO,Rhincodon typus,1296,24/12/2017,24/12/2017,1,1,1,3311:122,"POLYGON((112 -32,113 -32,113 -33,112 -33,112 -32))"
0103000020E610000001000000050000000000000000005C400000000000003AC00000000000405C400000000000003AC00000000000405C400000000000003BC00000000000005C400000000000003BC00000000000005C400000000000003AC0,21461024,113,-26,CSIRO,Rhincodon typus,1296,25/01/2017,27/01/2017,2,1,1,3211:362,"POLYGON((112 -26,113 -26,113 -27,112 -27,112 -26))"
0103000020E610000001000000050000000000000000005C4000000000000039C00000000000405C4000000000000039C00000000000405C400000000000003AC00000000000005C400000000000003AC00000000000005C4000000000000039C0,21461017,113,-25,CSIRO,Rhincodon typus,1296,19/12/2016,22/10/2018,65,5,1,3211:352,"POLYGON((112 -25,113 -25,113 -26,112 -26,112 -25))"
0103000020E610000001000000050000000000000000005C4000000000000038C00000000000405C4000000000000038C00000000000405C4000000000000039C00000000000005C4000000000000039C00000000000005C4000000000000038C0,21460911,113,-24,CSIRO,Rhincodon typus,1296,18/02/2018,18/02/2018,2,1,1,3211:142,"POLYGON((112 -24,113 -24,113 -25,112 -25,112 -24))"
0103000020E610000001000000050000000000000000005C4000000000000037C00000000000405C4000000000000037C00000000000405C4000000000000038C00000000000005C4000000000000038C00000000000005C4000000000000037C0,21460902,113,-23,CSIRO,Rhincodon typus,1296,22/02/2018,27/02/2018,92,1,1,3211:132,"POLYGON((112 -23,113 -23,113 -24,112 -24,112 -23))"
0103000020E610000001000000050000000000000000005C4000000000000034C00000000000405C4000000000000034C00000000000405C4000000000000035C00000000000005C4000000000000035C00000000000005C4000000000000034C0,21460538,113,-21,CSIRO,Rhincodon typus,1296,09/06/2016,09/06/2016,1,1,1,3211:102,"POLYGON((112 -20,113 -20,113 -21,112 -21,112 -20))"
0103000020E610000001000000050000000000000000005C4000000000000033C00000000000405C4000000000000033C00000000000405C4000000000000034C00000000000005C4000000000000034C00000000000005C4000000000000033C0,21460212,113,-19,CSIRO,Rhincodon typus,1296,26/06/2018,21/08/2018,25,2,1,3111:392,"POLYGON((112 -19,113 -19,113 -20,112 -20,112 -19))"
0103000020E610000001000000050000000000000000005C4000000000000032C00000000000405C4000000000000032C00000000000405C4000000000000033C00000000000005C4000000000000033C00000000000005C4000000000000032C0,21460196,113,-18,CSIRO,Rhincodon typus,1296,11/12/2016,11/09/2017,7,2,1,3111:382,"POLYGON((112 -18,113 -18,113 -19,112 -19,112 -18))"
